縣市別代碼,測站名稱,測站代號,民國年,月,日,總懸浮微粒_μg/m3
66000,梧棲衛生所,3409110A0005,111,1,7,130.6
66000,梧棲衛生所,3409110A0005,111,1,27,105.6
66000,霧峰線路中心,3410310A0015,111,1,7,39
66000,霧峰線路中心,3410310A0015,111,1,27,73.2
66000,文山國小,3432410A0011,111,1,7,40.2
66000,文山國小,3432410A0011,111,1,27,59.7
66000,中山國小,3408710A0013,111,1,7,14.5
66000,中山國小,3408710A0013,111,1,27,30.1
66000,梧棲衛生所,3409110A0005,111,2,10,71.5
66000,梧棲衛生所,3409110A0005,111,2,25,150.2
66000,霧峰線路中心,3410310A0015,111,2,10,38.3
66000,霧峰線路中心,3410310A0015,111,2,25,50.2
66000,文山國小,3432410A0011,111,2,10,25.5
66000,文山國小,3432410A0011,111,2,25,32.2
66000,中山國小,3408710A0013,111,2,10,11.4
66000,中山國小,3408710A0013,111,2,25,20.2
66000,梧棲衛生所,3409110A0005,111,3,10,74.6
66000,梧棲衛生所,3409110A0005,111,3,29,97
66000,霧峰線路中心,3410310A0015,111,3,10,76.1
66000,霧峰線路中心,3410310A0015,111,3,29,83.2
66000,文山國小,3432410A0011,111,3,10,59.2
66000,文山國小,3432410A0011,111,3,29,80.7
66000,中山國小,3408710A0013,111,3,10,26.3
66000,中山國小,3408710A0013,111,3,29,45.1
66000,梧棲衛生所,3409110A0005,111,4,11,70.6
66000,梧棲衛生所,3409110A0005,111,4,28,74.1
66000,霧峰線路中心,3410310A0015,111,4,11,73.7
66000,霧峰線路中心,3410310A0015,111,4,28,50.9
66000,文山國小,3432410A0011,111,4,11,72
66000,文山國小,3432410A0011,111,4,28,48.7
66000,中山國小,3408710A0013,111,4,11,56.1
66000,梧棲衛生所,3409110A0005,111,5,10,26.8
66000,梧棲衛生所,3409110A0005,111,5,27,54
66000,霧峰線路中心,3410310A0015,111,5,10,45.1
66000,霧峰線路中心,3410310A0015,111,5,27,32.3
66000,文山國小,3432410A0011,111,5,10,20
66000,文山國小,3432410A0011,111,5,27,45.8
66000,梧棲衛生所,3409110A0005,111,6,10,41.9
66000,梧棲衛生所,3409110A0005,111,6,24,35.6
66000,霧峰線路中心,3410310A0015,111,6,10,27
66000,霧峰線路中心,3410310A0015,111,6,24,12.9
66000,文山國小,3432410A0011,111,6,10,29.7
66000,文山國小,3432410A0011,111,6,24,33.5
66000,梧棲衛生所,3409110A0005,111,7,8,38.1
66000,梧棲衛生所,3409110A0005,111,7,25,33.7
66000,霧峰線路中心,3410310A0015,111,7,8,35.9
66000,霧峰線路中心,3410310A0015,111,7,25,31.1
66000,文山國小,3432410A0011,111,7,8,28
66000,文山國小,3432410A0011,111,7,25,26.8
66000,梧棲衛生所,3409110A0005,111,8,12,22.2
66000,梧棲衛生所,3409110A0005,111,8,26,133.2
66000,霧峰線路中心,3410310A0015,111,8,12,24.8
66000,霧峰線路中心,3410310A0015,111,8,26,33.1
66000,文山國小,3432410A0011,111,8,12,19.7
66000,文山國小,3432410A0011,111,8,26,35.4
66000,梧棲衛生所,3409110A0005,111,9,8,90
66000,梧棲衛生所,3409110A0005,111,9,26,113.1
66000,霧峰線路中心,3410310A0015,111,9,8,62.8
66000,霧峰線路中心,3410310A0015,111,9,26,65.6
66000,文山國小,3432410A0011,111,9,8,63.5
66000,文山國小,3432410A0011,111,9,26,63.2
66000,梧棲衛生所,3409110A0005,111,10,13,116.8
66000,梧棲衛生所,3409110A0005,111,10,28,97.7
66000,霧峰線路中心,3410310A0015,111,10,13,72.3
66000,霧峰線路中心,3410310A0015,111,10,28,61.1
66000,文山國小,3432410A0011,111,10,13,68.7
66000,文山國小,3432410A0011,111,10,28,42.7
66000,梧棲衛生所,3409110A0005,111,11,4,98.9
66000,梧棲衛生所,3409110A0005,111,11,25,48.9
66000,霧峰線路中心,3410310A0015,111,11,4,52
66000,霧峰線路中心,3410310A0015,111,11,25,64.7
66000,文山國小,3432410A0011,111,11,4,31.9
66000,文山國小,3432410A0011,111,11,25,40.4
66000,中山國小,3408710A0013,111,11,25,33.5
66000,梧棲衛生所,3409110A0005,111,12,9,76.4
66000,梧棲衛生所,3409110A0005,111,12,23,91.2
66000,霧峰線路中心,3410310A0015,111,12,9,38.7
66000,霧峰線路中心,3410310A0015,111,12,23,29.8
66000,文山國小,3432410A0011,111,12,9,68.6
66000,文山國小,3432410A0011,111,12,23,33.6
66000,中山國小,3408710A0013,111,12,9,13.5
66000,中山國小,3408710A0013,111,12,23,5.5
66000,梧棲衛生所,3409110A0005,112,1,6,108.7
66000,梧棲衛生所,3409110A0005,112,1,30,87.5
66000,霧峰線路中心,3410310A0015,112,1,6,96.8
66000,霧峰線路中心,3410310A0015,112,1,30,75.6
66000,文山國小,3432410A0011,112,1,6,81.8
66000,文山國小,3432410A0011,112,1,30,86.8
66000,中山國小,3408710A0013,112,1,6,10.4
66000,中山國小,3408710A0013,112,1,30,47.9
66000,梧棲衛生所,3409110A0005,112,2,8,118.5
66000,梧棲衛生所,3409110A0005,112,2,24,102.4
66000,霧峰線路中心,3410310A0015,112,2,8,48.4
66000,霧峰線路中心,3410310A0015,112,2,24,89.4
66000,文山國小,3432410A0011,112,2,8,51.5
66000,文山國小,3432410A0011,112,2,24,49.8
66000,中山國小,3408710A0013,112,2,8,29.6
66000,中山國小,3408710A0013,112,2,24,33.1
